c0,c1,c2
я,iobj,Dat_PRON
а,cc,CCONJ
извольте,acl,VERB
а,cc,CCONJ
третью,obl,Ins_NOUN
благотворитель,nsubj,Nom_NOUN
крутот,nsubj,Nom_PRON
ступеньке,obl,Loc_NOUN
перегнувшись,conj,VERB
через,case,ADP
спросить,conj,VERB
ужаса,obl,Loc_NOUN
глаз,nsubj,Gen_PROPN
встать,conj,VERB
и,cc,CCONJ
усы,nsubj,Nom_NOUN
дыбом,obj,Acc_NOUN
швейцар,nsubj,Nom_PROPN
снизу,advmod,ADV
голова,obj,Acc_NOUN
приладил,conj,VERB
ладошку,obj,Acc_NOUN
губам,obl,Dat_NOUN
подтвердить,conj,VERB
и,cc,CCONJ
квартира,ccomp,Loc_NOUN
ширмами,obl,Ins_NOUN
кирпичом,obl,Ins_NOUN
черт,nsubj,Nom_PROPN
такой,ccomp,Nom_DET
постановление,nsubj,Nom_NOUN
товарищество,obj,Acc_NOUN
что,nsubj,Nom_PRON
бок,nsubj,Nom_NOUN
себя,obj,Acc_PRON
знать,xcomp,VERB
галун,nsubj,Nom_NOUN
внизу,advmod,ADV
площадка,obl,Loc_NOUN
теплом,iobj,Ins_NOUN
раз,conj,Acc_NOUN
бельэтаж,conj,Acc_NOUN
то,advmod,Ins_PRON
вы,nsubj,Nom_PRON
москва,obl,Loc_PROPN
иметься,conj,VERB
и,cc,CCONJ
хоть,advmod,PART
мозги,nsubj,Acc_NOUN
голова,obl,Loc_NOUN
волей,obl,Dat_NOUN
грамоте,iobj,Dat_NOUN
притом,conj,Ins_NOUN
шарик,nsubj,Nom_PROPN
учиться,xcomp,VERB
лишь,discourse,PART
только,discourse,PART
он,iobj,Dat_PRON
месяц,obj,Gen_NOUN
развесили,parataxis,VERB
москва,obl,Dat_PROPN
вывески,obj,Acc_NOUN
надпись,obl,Ins_NOUN
и,cc,CCONJ
путаница,nsubj,Nom_NOUN
равняясь,advcl,VERB
цвет,obl,Dat_NOUN
обоняние,obj,Acc_NOUN
дымом,iobj,Ins_NOUN
вкатил,conj,VERB
мясной,obl,Ins_NOUN
магазин,obl,Acc_NOUN
там,advmod,ADV
пес,obl,Acc_NOUN
проволоки,nmod,Gen_NOUN
почище,conj,Loc_NOUN
момент,nsubj,Nom_NOUN
и,cc,CCONJ
считать,xcomp,VERB
тротуаре,obl,Loc_NOUN
тут,advmod,ADV
шарик,nsubj,Nom_PROPN
соображать,xcomp,VERB
не,advmod,PART
всегда,advmod,ADV
мясной,iobj,Ins_NOUN
и,cc,CCONJ
зажимая,advcl,VERB
стоять,ccomp,VERB
что,mark,SCONJ
первый,obl,Gen_ADJ
слева,advmod,ADV
раскоряка,nsubj,Nom_NOUN
далее,advmod,ADV
успешный,obj,ADJ
а,nsubj,Nom_NOUN
он,nsubj,Nom_PRON
главрыбе,obl,Loc_PROPN
на,conj,ADP
б,conj,Nom_NOUN
милиционер,obj,Acc_NOUN
квадратики,nsubj,Nom_NOUN
всегда,advmod,ADV
и,cc,CCONJ
неизбежно,advmod,ADV
играли,advcl,VERB
если,mark,SCONJ
гармонике,obl,Loc_NOUN
буква,nsubj,Nom_NOUN
удобно,advmod,ADV
слово,obl,Acc_NOUN
винтом,iobj,Ins_NOUN
драка,obj,Acc_NOUN
если,mark,SCONJ
окно,obl,Loc_NOUN
несвежий,obj,Acc_NOUN
лежали,conj,VERB
и,cc,CCONJ
мандарины,obj,Acc_NOUN
гау,nsubj,ADV
га,nsubj,Nom_NOUN
строномия,nsubj,Nom_NOUN
господин,nsubj,Nom_NOUN
поднять,conj,VERB
а,cc,CCONJ
пес,nsubj,Nom_NOUN
тотчас,advmod,ADV
глаз,obj,Gen_NOUN
карточку,obl,Acc_NOUN
буква,obj,Gen_NOUN
он,nsubj,Nom_PRON
сразу,advmod,ADV
пэ,iobj,Dat_PROPN
но,cc:preconj,CCONJ
далеко,advmod,ADV
дрянь,nsubj,Nom_NOUN
неизвестный,conj,VERB
неужели,nsubj,Nom_PROPN
шарик,nsubj,Nom_PROPN
удивлением,obl,Ins_NOUN
мочь,parataxis,VERB
он,nsubj,Nom_PRON
нос,obj,Acc_NOUN
обнюхал,conj,VERB
еще,advmod,ADV
раз,advmod,Acc_NOUN
шубу,obj,Acc_NOUN
подумал,conj,VERB
и,cc,CCONJ
уверенно,advmod,ADV
нет,parataxis,VERB
слово,nsubj,Nom_NOUN
а,cc,CCONJ
бог,nsubj,Nom_NOUN
его,obj,Gen_PRON
значить,ccomp,VERB
что,mark,SCONJ
оно,nsubj,Nom_PRON
стеклом,obl,Ins_NOUN
свет,nsubj,Nom_NOUN
оттенив,advcl,VERB
дверь,advmod,ADV
совершенно,advmod,ADV
бесшумно,advmod,ADV
предстать,conj,VERB
женщина,nsubj,Nom_NOUN
псом,obl,Ins_NOUN
первый,nsubj,Gen_ADJ
теплом,iobj,Ins_NOUN
юбка,conj,Nom_NOUN
я,nsubj,Nom_PRON
подумал,conj,VERB
пес,obj,Acc_NOUN
пожалуйте,nsubj,Nom_PROPN
иронически,advmod,ADV
господин,obj,Nom_NUM
и,cc,CCONJ
шарик,nsubj,Nom_PROPN
благоговейно,advmod,ADV
хвостом,obl,Ins_NOUN
множество,nsubj,Nom_NOUN
передний,obj,Acc_NOUN
тут,advmod,ADV
зеркало,nsubj,Nom_NOUN
пол,obl,Gen_NOUN
шарика,conj,Gen_PROPN
калоши,conj,Nom_ADJ
тюльпан,conj,Nom_NOUN
взять,advcl,VERB
где,mark,SCONJ
вы,nsubj,Nom_PRON
такой,amod,Gen_DET
филипп,nsubj,Nom_PROPN
улыбаясь,advcl,VERB
помогала,conj,VERB
женщина,nsubj,Nom_NOUN
и,cc,CCONJ
снимать,xcomp,VERB
батюшки,nsubj,Nom_PROPN
паршивый,amod,Nom_ADJ
где,advmod,ADV
ж,nsubj,Nom_NOUN
он,nsubj,Nom_PRON
паршивый,obl,Nom_ADJ
строго,advmod,ADV
и,cc,CCONJ
отрывисто,advmod,ADV
господин,nsubj,Nom_NUM
снятии,obl,Loc_NOUN
он,nsubj,Nom_PRON
костюме,obl,Loc_NOUN
он,obl,Gen_PRON
засверкала,conj,VERB
радостно,advmod,ADV
и,cc,CCONJ
неярко,advmod,ADV
цепь,nsubj,Nom_NOUN
погоди,nsubj,ADV
не,advmod,PART
фить,xcomp,VERB
дурачок,nsubj,Nom_NOUN
этот,nsubj,Nom_PRON
негодяй,obl,Gen_NOUN
ты,nsubj,Gen_PRON
повар,nsubj,Nom_NOUN
глаз,iobj,Ins_NOUN
подвыть,parataxis,VERB
пес,nsubj,Nom_NOUN
зина,nsubj,Nom_PROPN
господин,nsubj,Nom_NOUN
он,obl,Acc_PRON
сейчас,advmod,ADV
халат,conj,Nom_ADJ
женщина,nsubj,Nom_NOUN
пальцами,obj,Ins_NOUN
последовать,conj,VERB
и,cc,CCONJ
пес,nsubj,Nom_NOUN
она,obl,Ins_PRON
они,nsubj,Nom_PRON
вдвой,advmod,ADV
узкий,obl,Acc_ADJ
тускло,conj,VERB
коридор,obj,Acc_NOUN
дверь,obj,Acc_NOUN
прийти,conj,VERB
конец,obl,Nom_NOUN
проникли,conj,VERB
а,cc,CCONJ
затем,advmod,ADV
налево,obj,Acc_NOUN
оказаться,conj,VERB
и,cc,CCONJ
комната,obl,Loc_NOUN
который,nsubj,Nom_PRON
мгновенно,advmod,ADV
не,advmod,PART
запахом,iobj,Ins_NOUN
тьма,nsubj,Nom_NOUN
превратиться,conj,VERB
и,cc,CCONJ
день,obl,Acc_NOUN
засверкало,advcl,VERB
причем,mark,SCONJ
сторона,obl,Gen_NOUN
засияло,conj,VERB
забелело,conj,VERB
и,cc,CCONJ
мысленно,advmod,ADV
пес,nsubj,Nom_NOUN
понимать,advcl,VERB
черт,nsubj,Nom_NOUN
бы,discourse,PART
они,obj,Acc_PRON
с,conj,ADP
это,nsubj,Nom_PRON
я,iobj,Gen_PRON
собачью,obl,Acc_NOUN
лечебницу,obj,Acc_NOUN
сейчас,advmod,ADV
касторку,obj,Acc_NOUN
жрать,xcomp,VERB
и,cc,CCONJ
бок,obj,Acc_NOUN
ножиками,iobj,Ins_NOUN
нельзя,conj,Nom_NOUN
куда,advmod,ADV
та,nsubj,Nom_NOUN
который,obj,Acc_PRON
зиной,advmod,Ins_PROPN
пес,nsubj,Nom_PROPN
спружинился,conj,VERB
ударить,conj,VERB
и,cc,CCONJ
вдруг,advmod,ADV
дверь,obl,Acc_NOUN
боком,iobj,Ins_NOUN
так,advmod,ADV
что,nsubj,Nom_PRON
квартира,obl,Dat_NOUN
место,obl,Loc_NOUN
кубарь,obl,Nom_NOUN
вывернул,advcl,VERB
причем,mark,SCONJ
пол,obl,Acc_NOUN
ведро,obj,Acc_NOUN
который,obl,Gen_PRON
комья,nsubj,Nom_NOUN
время,obl,Acc_NOUN
круг,iobj,Ins_NOUN
стена,nsubj,Nom_NOUN
запрыгал,parataxis,VERB
передник,nsubj,Nom_NOUN
куда,obl,ADV
черт,nsubj,Nom_NOUN
окаянный,nsubj,Nom_NOUN
где,advmod,ADV
они,obl,Gen_PRON
лестница,nsubj,Nom_NOUN
пес,nsubj,Nom_NOUN
он,nsubj,Nom_PRON
ударить,conj,VERB
комком,conj,Ins_NOUN
наобум,obj,Acc_NOUN
надежда,obl,Loc_NOUN
дверь,ccomp,Acc_NOUN
туча,nsubj,Nom_NOUN
громом,obl,Ins_NOUN
выпрыгнул,parataxis,VERB
банк,nsubj,Nom_NOUN
рыжей,obl,Ins_NOUN
гадостью,iobj,Ins_NOUN
который,nsubj,Nom_PRON
мгновенно,advmod,ADV
пол,obj,Acc_NOUN
завоняла,conj,VERB
и,cc,CCONJ
настоящая,nsubj,Nom_VERB
дверь,advmod,ADV
с,nsubj,ADV
господин,nsubj,Nom_NOUN
надетом,advmod,Ins_NOUN
пса,conj,Nom_NOUN
держи,conj,Nom_NOUN
широкий,amod,ADJ
дверь,obj,Acc_NOUN
ворвалась,conj,VERB
и,cc,CCONJ
личность,nsubj,Nom_NOUN
давя,advcl,VERB
она,nsubj,Nom_PRON
не,advmod,PART
псу,obl,Dat_NOUN
раскрыть,conj,VERB
а,cc,CCONJ
шкафу,obl,Dat_NOUN
наполнила,conj,VERB
он,obj,Acc_PRON
и,cc,CCONJ
комнату,obj,Acc_NOUN
запахом,iobj,Ins_NOUN
затем,advmod,ADV
личность,nsubj,Nom_NOUN
пса,obl,Gen_NOUN
тяпнул,ccomp,VERB
причем,mark,SCONJ
пес,nsubj,Nom_NOUN
она,obj,Acc_PRON
шнурков,obl,Acc_NOUN
личность,nsubj,Nom_NOUN
потерялась,conj,VERB
но,cc,CCONJ
не,advmod,PART
мерзость,nsubj,Nom_NOUN
неожиданно,advmod,ADV
дыхание,obj,Acc_NOUN
отвалились,parataxis,VERB
завертелось,advcl,VERB
потом,advmod,ADV
ноги,nsubj,Nom_NOUN
поехал,conj,VERB
и,cc,CCONJ
он,nsubj,Nom_PRON
криво,obj,Acc_NOUN
спасибо,nsubj,Nom_PROPN
кончено,discourse,ADV
мечтательно,advmod,ADV
валясь,advcl,VERB
и,cc:preconj,CCONJ
тут,advmod,ADV
он,nsubj,Nom_PRON
окончательно,advmod,ADV
бок,obl,Acc_NOUN
когда,mark,SCONJ
он,nsubj,Nom_PRON
кружилась,ccomp,VERB
он,obl,Gen_PRON
легонько,advmod,PART
голова,obj,Acc_NOUN
тошнило,conj,VERB
и,cc,CCONJ
чуть,nsubj,ADV
животе,obl,Loc_NOUN
быть,advcl,VERB
бок,nsubj,Nom_NOUN
сладостно,advmod,ADV
пес,nsubj,Nom_PROPN
глаз,obj,Acc_NOUN
увидеть,conj,VERB
и,cc,CCONJ
краем,advmod,ADV
он,obj,Acc_PRON
забинтованный,ccomp,Acc_VERB
всё,nsubj,Nom_DET
подумал,parataxis,VERB
ребенок,nsubj,Nom_NOUN
смутно,advmod,ADV
надо,conj,VERB
он,obl,Ins_PRON
рассеянный,xcomp,Nom_VERB
пес,nsubj,Nom_PROPN
открыть,conj,VERB
совсем,advmod,ADV
глаз,obj,Gen_NOUN
увидеть,conj,VERB
и,cc,CCONJ
шагах,obl,Loc_NOUN
ног,obj,Acc_NOUN
угодники,nsubj,Nom_PROPN
пес,obj,Acc_NOUN
быть,parataxis,VERB
стук,nsubj,Nom_NOUN
ты,obj,Nom_PRON
бродяга,nsubj,Nom_NOUN
доктор,nsubj,Nom_NOUN
стекло,obl,Acc_NOUN
у,nsubj,ADV
жалобно,advmod,ADV
пес,obj,Acc_NOUN
лежи,conj,Gen_NOUN
кретин,nsubj,Nom_NOUN
удаться,advcl,VERB
как,mark,SCONJ
это,nsubj,Nom_PRON
вы,iobj,Dat_PRON
филипп,nsubj,Nom_PROPN
голос,obj,Acc_NOUN
откатилась,conj,VERB
и,cc,CCONJ
кальсона,nsubj,Nom_NOUN
книзу,obj,Acc_NOUN
табаком,iobj,Ins_NOUN
в,conj,ADP
ступени,obl,Gen_NOUN
оно,nsubj,Nom_PRON
ни,advmod,PART
это,nsubj,Nom_PRON
я,nsubj,Nom_PRON
утверждаю,conj,VERB
и,cc,CCONJ
утверждать,xcomp,VERB
они,nsubj,Nom_PRON
напрасно,advmod,ADV
помочь,ccomp,VERB
что,mark,SCONJ
террор,nsubj,Nom_NOUN
он,iobj,Dat_PRON
нет,nsubj,ADV
нет,advmod,ADV
не,advmod,PART
быть,acl:relcl,VERB
террор,nsubj,Nom_NOUN
совершенно,advmod,ADV
система,obj,Acc_NOUN
я,nsubj,Nom_PRON
прохвосту,iobj,Dat_NOUN
когда,advmod,ADV
он,obj,Acc_PRON
