c0,c1,c2
калошах,obl,Loc_NOUN
пес,nsubj,Nom_NOUN
выдаваться,conj,Nom_VERB
пропала,conj,VERB
карандашом,iobj,Ins_NOUN
чтобы,mark,SCONJ
парадного,acl,Gen_VERB
пара,nsubj,Nom_NOUN
март,obl,Loc_NOUN
день,obl,Acc_NOUN
калоши,obj,Gen_NOUN
моих,nsubj,Gen_DET
и,cc:preconj,CCONJ
пора,obl,Gen_NOUN
стойка,nsubj,Nom_NOUN
существование,obj,Acc_NOUN
я,nsubj,Nom_PRON
не,advmod,PART
отоплении,obl,Loc_NOUN
не,advmod,PART
нужно,parataxis,VERB
так,advmod,ADV
я,nsubj,Nom_PRON
стать,ccomp,VERB
начаться,advcl,VERB
почто,mark,SCONJ
когда,advmod,ADV
история,nsubj,Nom_NOUN
весь,nsubj,Nom_PRON
ходить,xcomp,VERB
в,conj,ADP
чтобы,mark,SCONJ
кто,nsubj,Nom_PRON
либо,advmod,ADV
не,advmod,PART
почему,mark,SCONJ
ковер,obj,Acc_NOUN
разве,nsubj,Nom_PROPN
держать,xcomp,VERB
что,mark,SCONJ
подъезд,nsubj,Nom_NOUN
пречистенке,obl,Loc_PROPN
забить,xcomp,VERB
а,cc,CCONJ
мрамор,obj,Acc_NOUN
ведь,advcl,VERB
тяпнутый,nsubj,Nom_ADJ
подобного,acl,Gen_VERB
голосом,advmod,Ins_NOUN
филипп,nsubj,Nom_PROPN
налил,conj,VERB
и,cc,CCONJ
стакан,obj,Acc_NOUN
гм,nsubj,Nom_PROPN
я,nsubj,Nom_PRON
не,advmod,PART
ликеров,obj,Gen_NOUN
тяжелят,parataxis,VERB
они,nsubj,Nom_PRON
действовать,conj,VERB
и,cc,CCONJ
скверно,advmod,ADV
печень,obl,Acc_NOUN
который,nsubj,Nom_PRON
весна,iobj,Ins_NOUN
год,obl,Gen_NOUN
филипп,nsubj,Nom_PROPN
пальцем,advmod,Ins_NOUN
потолок,obl,Acc_NOUN
филипп,nsubj,Nom_PROPN
вбок,obj,Acc_NOUN
но,cc,CCONJ
хоть,discourse,PART
они,nsubj,Nom_PRON
их,iobj,Gen_PRON
лестнице,obl,Loc_NOUN
филипп,nsubj,Nom_PROPN
багроветь,obj,Acc_NOUN
черта,obl,Gen_NOUN
цветок,nsubj,Nom_NOUN
который,obj,Acc_PRON
течение,obl,Acc_NOUN
раз,obl,Gen_NOUN
время,obl,Acc_NOUN
гаснет,conj,VERB
аккуратно,advmod,ADV
раз,obj,Acc_NOUN
месяц,obl,Acc_NOUN
возразил,conj,VERB
совершенно,advmod,ADV
уверенно,advmod,ADV
нет,parataxis,VERB
это,nsubj,Nom_PRON
мираж,advmod,ADV
филипп,nsubj,Nom_PROPN
широко,advmod,ADV
пальцы,obj,Acc_NOUN
заерзали,parataxis,VERB
скатерти,obl,Dat_NOUN
ваша,nsubj,Nom_NOUN
ведьма,nsubj,Nom_NOUN
который,nsubj,Nom_PRON
стекло,nsubj,Nom_NOUN
лампа,obj,Acc_NOUN
да,discourse,PART
она,nsubj,Acc_PRON
вовсё,obj,Acc_PRON
не,advmod,PART
что,nsubj,Nom_PRON
вы,nsubj,Nom_PRON
слово,obl,Ins_NOUN
спросить,parataxis,VERB
яростно,advmod,ADV
филипп,nsubj,Nom_PROPN
утки,obl,Gen_NOUN
ногами,obj,Ins_NOUN
ответил,conj,VERB
и,cc,CCONJ
сам,nsubj,Nom_ADJ
она,obl,Acc_PRON
вечер,conj,VERB
оперировать,advcl,VERB
каждый,nsubj,Nom_DET
уннач,obj,Acc_NOUN
квартира,obl,Loc_NOUN
настать,acl:relcl,VERB
я,obl,Gen_PRON
разрух,obj,Gen_NOUN
уборной,obl,Loc_NOUN
разрух,nsubj,Nom_NOUN
смеюсь,acl:relcl,VERB
когда,advmod,ADV
баритоны,obj,Acc_NOUN
й,nsubj,Nom_PRON
лицо,nsubj,Nom_PROPN
филипп,nsubj,Nom_PROPN
открыть,ccomp,VERB
так,advmod,ADV
что,mark,SCONJ
тяпнутый,nsubj,Nom_NOUN
рота,obj,Acc_NOUN
это,nsubj,Nom_PRON
должен,ccomp,Nom_ADJ
и,discourse,CCONJ
вот,discourse,PART
когда,advmod,ADV
он,nsubj,Nom_PRON
себя,obl,Acc_PRON
галлюцинации,obj,Gen_NOUN
займется,conj,VERB
и,cc,CCONJ
сараев,obj,Gen_NOUN
исчезнуть,parataxis,VERB
разрух,nsubj,Nom_NOUN
сам,amod,Nom_ADJ
богам,nsubj,Dat_NOUN
служить,xcomp,VERB
это,nsubj,Nom_PRON
никто,iobj,Dat_PRON
не,advmod,PART
доктор,conj,Nom_NOUN
который,nsubj,Nom_PRON
вообще,advmod,ADV
отстав,advcl,VERB
совсем,advmod,ADV
уверенно,advmod,ADV
штаны,obj,Acc_NOUN
филипп,nsubj,Nom_PROPN
азарт,obl,Acc_NOUN
раздувались,parataxis,VERB
ястребиной,amod,Acc_ADJ
его,obl,Acc_PRON
набравшись,advcl,VERB
он,nsubj,Nom_PRON
пророку,iobj,Dat_NOUN
сверкала,conj,VERB
и,cc,CCONJ
голова,nsubj,Nom_NOUN
серебро,iobj,Ins_NOUN
слово,nsubj,Nom_NOUN
гул,obl,Acc_NOUN
глаз,obl,Ins_NOUN
видении,obl,Loc_NOUN
рожа,nmod,Nom_NOUN
ус,nmod,Acc_NOUN
варился,conj,VERB
а,cc,CCONJ
желудке,obl,Loc_NOUN
плавая,advcl,VERB
мутно,advmod,ADV
пес,nsubj,Nom_NOUN
впрочем,advmod,ADV
он,obl,Gen_PRON
и,cc,CCONJ
так,advmod,ADV
по,advmod,ADP
куры,nsubj,Nom_NOUN
не,advmod,PART
городовой,nsubj,Nom_PROPN
филипп,nsubj,Nom_PROPN
вы,nsubj,Nom_PRON
разрух,advmod,ADV
что,mark,SCONJ
ничто,nsubj,Nom_NOUN
не,advmod,PART
лучший,obl,Dat_ADJ
да,nsubj,Nom_NOUN
прекратят,advcl,VERB
лишь,discourse,PART
только,discourse,PART
они,nsubj,Nom_PRON
концерты,obj,Acc_NOUN
положение,nsubj,Nom_NOUN
лучший,obl,Dat_ADJ
вещь,nsubj,Nom_NOUN
вы,nsubj,Nom_PRON
шутливо,nsubj,Nom_PROPN
тяпнутый,xcomp,Nom_VERB
бог,conj,VERB
дай,nsubj,Nom_NOUN
вы,obj,Acc_PRON
услышать,parataxis,VERB
кто,nsubj,Nom_PRON
ничто,obj,Gen_PRON
филипп,nsubj,Nom_PROPN
что,mark,SCONJ
он,obl,Ins_PRON
черт,nsubj,Nom_PROPN
его,obj,Gen_PRON
так,advmod,ADV
я,nsubj,Nom_PRON
и,cc,CCONJ
нет,parataxis,VERB
тут,nsubj,Nom_PROPN
воротничка,obj,Acc_NOUN
положил,conj,VERB
и,cc,CCONJ
скомкав,advcl,VERB
ее,obj,Acc_PRON
стаканом,obl,Ins_NOUN
тотчас,nsubj,Nom_NOUN
поблагодарить,conj,VERB
и,cc,CCONJ
мерси,appos,Nom_PROPN
минутку,nsubj,Nom_PROPN
доктор,nsubj,Nom_NOUN
его,obj,Acc_PRON
филипп,nsubj,Nom_PROPN
он,nsubj,Nom_PRON
отсчитать,conj,VERB
бумажки,obj,Acc_NOUN
протянул,conj,VERB
и,cc,CCONJ
их,obj,Acc_PRON
укушенному,xcomp,Dat_VERB
сегодня,advmod,ADV
рубль,obl,Dat_NOUN
пострадавший,acl,Nom_VERB
вежливо,advmod,ADV
засунул,conj,VERB
и,cc,CCONJ
краснея,advcl,VERB
деньги,obj,Acc_NOUN
карман,obl,Acc_NOUN
филипп,nsubj,Nom_PROPN
он,nsubj,Nom_PRON
благодарить,ccomp,VERB
вы,obj,Acc_PRON
голубчик,conj,Nom_NOUN
а,cc,CCONJ
я,nsubj,Nom_PRON
давно,advmod,ADV
не,advmod,PART
тара,nsubj,Nom_PROPN
ра,nsubj,Nom_NOUN
успеваете,advcl,VERB
как,mark,SCONJ
это,nsubj,Nom_PRON
вы,nsubj,Nom_PRON
филипп,nsubj,Nom_PROPN
уважение,obl,Ins_NOUN
врач,nsubj,Nom_NOUN
объяснил,acl:relcl,VERB
всюду,advmod,ADV
тот,nsubj,Nom_DET
кто,nsubj,Nom_PRON
никуда,advmod,ADV
не,advmod,PART
назидательно,advmod,ADV
хозяин,obj,Acc_NOUN
конечно,advmod,ADV
начать,advcl,VERB
если,mark,SCONJ
бы,discourse,PART
я,nsubj,Nom_PRON
прыгать,xcomp,VERB
то,obl,Gen_PRON
заниматься,xcomp,VERB
я,nsubj,Nom_PRON
поспел,parataxis,VERB
никуда,advmod,ADV
не,advmod,PART
заиграть,conj,VERB
пальцами,obl,Ins_NOUN
кармане,obl,Loc_NOUN
небесно,advmod,ADV
репетир,obj,Acc_NOUN
большой,obl,Loc_ADJ
пусть,advmod,PART
оперировать,conj,VERB
филипп,nsubj,Nom_PROPN
патологоанатома,nsubj,Nom_NOUN
пусть,nsubj,Nom_NOUN
он,obl,Gen_PRON
обо,mark,SCONJ
я,iobj,Dat_PRON
подумал,parataxis,VERB
человек,nsubj,Nom_NOUN
я,nsubj,Nom_PRON
это,acl:relcl,Nom_PRON
чтобы,mark,SCONJ
это,nsubj,Nom_PRON
я,nsubj,Nom_PRON
сне,obl,Loc_NOUN
вот,discourse,PART
нет,conj,VERB
ни,advmod,PART
лампа,obj,Acc_NOUN
ни,advmod,PART
сытости,conj,Gen_NOUN
опять,advmod,ADV
подворотня,nsubj,Nom_NOUN
но,cc:preconj,CCONJ
ничто,obj,Acc_NOUN
не,advmod,PART
подворотня,nsubj,Nom_NOUN
сновидение,obl,Acc_NOUN
вернуться,conj,VERB
и,cc,CCONJ
более,advmod,ADV
не,advmod,PART
невзирая,nsubj,Nom_ADJ
дважды,advmod,ADV
день,obl,Acc_NOUN
подоконниками,obl,Ins_NOUN
жаром,obl,Ins_NOUN
тепло,conj,VERB
и,cc,CCONJ
расходилось,conj,VERB
анволми,iobj,Ins_NOUN
квартира,obl,Dat_NOUN
пес,nsubj,Nom_NOUN
бигод,obj,Acc_NOUN
раз,advmod,Acc_NOUN
день,obl,Acc_NOUN
слезами,obl,Ins_NOUN
пес,nsubj,Nom_NOUN
глядя,advcl,VERB
возможно,parataxis,VERB
что,mark,SCONJ
бабушко,nsubj,Nom_NOUN
мой,obj,Nom_DET
водолазом,obl,Ins_NOUN
то,advmod,ADV
я,nsubj,Nom_PRON
морде,obl,Loc_NOUN
откуда,advmod,ADV
оно,nsubj,Nom_PRON
не,advmod,PART
он,nsubj,Nom_PRON
течение,obl,Loc_NOUN
пес,nsubj,Nom_NOUN
столько,obj,Nom_NUM
улица,obl,Loc_NOUN
качество,obl,Loc_NOUN
филипп,obl,Gen_PROPN
и,cc,CCONJ
говорить,xcomp,VERB
не,advmod,PART
что,mark,SCONJ
ежедневно,advmod,ADV
дарьей,nsubj,Nom_PROPN
груда,obj,Nom_NOUN
копеек,obl,Gen_NOUN
упомянуть,advcl,VERB
который,obl,Loc_PRON
присутствовать,parataxis,VERB
протесты,obl,Acc_NOUN
время,obl,Acc_NOUN
филипп,nsubj,Nom_PROPN
окончательно,advmod,ADV
звание,obj,Acc_NOUN
пес,nsubj,Nom_PROPN
лапа,obl,Acc_NOUN
жевал,conj,VERB
и,cc,CCONJ
капидж,obj,Acc_NOUN
изучить,parataxis,VERB
пес,nsubj,Nom_NOUN
звонок,nsubj,Nom_NOUN
и,cc,CCONJ
лаем,obl,Ins_NOUN
хозяин,nsubj,Nom_PROPN
лисе,obl,Loc_NOUN
разносился,conj,VERB
сверкая,advcl,VERB
жилищу,obl,Dat_NOUN
зачем,nsubj,Nom_PROPN
свинья,nsubj,Nom_NOUN
она,nsubj,Nom_PRON
ты,iobj,Dat_PRON
мешала,nsubj,Nom_PROPN
я,nsubj,Nom_PRON
профессор,obl,Gen_NOUN
возмущенно,advmod,ADV
зина,nsubj,Nom_PROPN
избалуется,conj,VERB
а,cc,CCONJ
то,advmod,ADV
он,nsubj,Nom_PRON
совершенно,advmod,ADV
вы,nsubj,Nom_PRON
сделать,ccomp,VERB
что,mark,SCONJ
он,nsubj,Nom_PRON
калошами,obl,Ins_NOUN
никого,amod,Gen_ADJ
филипп,nsubj,Nom_PROPN
запомни,obj,Acc_NOUN
он,obl,Dat_PRON
сегодня,advmod,ADV
он,nsubj,Nom_PRON
дом,obj,Acc_NOUN
что,nsubj,Nom_PRON
вы,nsubj,Nom_PRON
филипп,conj,Nom_PROPN
как,mark,SCONJ
он,nsubj,Nom_PRON
не,advmod,PART
ну,iobj,Dat_PROPN
и,cc,CCONJ
ест,obj,Acc_NOUN
ты,obl,Dat_PRON
сова,obj,Acc_NOUN
у,nsubj,ADV
пес,obj,Acc_NOUN
полз,conj,VERB
и,cc,CCONJ
брюхе,obl,Loc_NOUN
вывернув,advcl,VERB
затем,advmod,ADV
он,obj,Acc_PRON
гвалтом,obl,Ins_NOUN
шиворота,obl,Acc_NOUN
приемную,acl,Acc_VERB
пес,nsubj,Nom_PROPN
огрызался,conj,VERB
цеплялся,conj,VERB
ковер,obl,Acc_NOUN
ехал,conj,VERB
заду,obl,Loc_NOUN
цирке,obl,Loc_NOUN
который,obl,Gen_PRON
тряпки,obj,Acc_NOUN
пахнущие,advcl,VERB
столе,obl,Loc_NOUN
вдребезги,nsubj,Nom_NOUN
я,nsubj,Nom_PRON
нарочно,advmod,ADV
не,advmod,PART
полюбовались,advcl,VERB
чтобы,mark,SCONJ
вы,nsubj,Nom_PRON
докладывала,conj,VERB
расстроенно,advmod,ADV
зина,nsubj,Nom_NOUN
стол,obl,Acc_NOUN
мерзавец,nsubj,Nom_NOUN
опомниться,xcomp,VERB
не,advmod,PART
он,obl,Nom_PRON
чтобы,mark,SCONJ
вещь,obl,Loc_NOUN
и,cc:preconj,CCONJ
вой,iobj,Ins_NOUN
пса,nsubj,Gen_PROPN
тащили,cc,CCONJ
тыкать,xcomp,VERB
причем,mark,SCONJ
пес,nsubj,Nom_NOUN
слезами,iobj,Ins_NOUN
бейте,nsubj,Nom_PROPN
выгоняйте,advmod,ADV
рубль,obl,Dat_NOUN
он,iobj,Dat_PRON
ошейник,nsubj,Nom_NOUN
момент,obl,Acc_NOUN
поглядевшись,advcl,VERB
он,nsubj,Nom_PRON
очень,advmod,ADV
поджал,conj,VERB
хвост,obj,Acc_NOUN
ушел,conj,VERB
и,cc,CCONJ
комнату,obl,Acc_NOUN
размышляя,advcl,VERB
но,cc:preconj,CCONJ
скоро,advmod,ADV
пес,nsubj,Nom_NOUN
дурак,obj,Acc_NOUN
зина,nsubj,Nom_NOUN
он,obj,Acc_PRON
гулять,xcomp,VERB
переулку,obj,Acc_NOUN
пес,nsubj,Nom_NOUN
наарестт,obl,Nom_NOUN
сообразил,conj,VERB
но,cc,CCONJ
пройти,advcl,VERB
отлично,advmod,ADV
значить,ccomp,VERB
что,mark,SCONJ
жизнь,obl,Loc_NOUN
зависть,nsubj,Nom_NOUN
глазах,obl,Loc_NOUN
псов,obl,Gen_NOUN
облаял,conj,VERB
а,cc,CCONJ
переулок,obl,Gen_NOUN
его,obj,Acc_PRON
сволочь,iobj,Ins_NOUN
пересекали,advcl,VERB
когда,mark,SCONJ
рельсы,nsubj,Nom_NOUN
милиционер,nsubj,Nom_NOUN
ошейник,obl,Acc_NOUN
удовольствием,obl,Ins_NOUN
вернуться,conj,VERB
а,cc,CCONJ
когда,advmod,ADV
произойти,conj,VERB
невиданное,nsubj,Nom_NOUN
отпер,parataxis,VERB
федор,nsubj,ADV
собственноручно,advmod,ADV
дверь,obj,Acc_NOUN
впустил,conj,VERB
и,cc,CCONJ
шарика,iobj,Ins_PROPN
зине,iobj,Dat_NOUN
он,nsubj,Nom_PRON
это,obl,Loc_PRON
ишь,discourse,PART
филипп,nsubj,Nom_PROPN
шестерых,obl,Gen_PRON
пояснила,conj,VERB
румяная,amod,Nom_ADJ
что,mark,SCONJ
портфель,nsubj,Nom_NOUN
пес,nsubj,Nom_NOUN
бельэтаж,obl,Acc_NOUN
барин,obl,Nom_NOUN
ошейник,obl,Nom_NOUN
визит,nsubj,Nom_NOUN
отделение,obl,Acc_NOUN
воспрещен,acl:relcl,Nom_VERB
квартира,nsubj,Nom_NOUN
не,advmod,PART
пядей,conj,Gen_NOUN
день,nsubj,Nom_NOUN
бушевало,conj,VERB
и,cc,CCONJ
пламя,obj,Acc_NOUN
духовой,nsubj,Nom_PROPN
столбах,obl,Loc_NOUN
мукой,iobj,Ins_NOUN
оно,nsubj,Nom_PRON
отливало,conj,VERB
и,cc,CCONJ
жиром,iobj,Ins_NOUN
прическе,obl,Loc_NOUN
уши,obl,Acc_NOUN
затылке,obl,Loc_NOUN
бриллианта,obl,Gen_NOUN
стенам,obl,Dat_NOUN
крюках,obl,Loc_NOUN
кастрюли,obj,Acc_NOUN
громыхала,parataxis,VERB
кухня,nsubj,Nom_NOUN
запахами,advmod,Ins_NOUN
клокотала,ccomp,VERB
и,cc,CCONJ
сосудах,obl,Loc_NOUN
вон,nsubj,Nom_PROPN
вон,conj,Nom_PROPN
карманник,conj,Nom_NOUN
ты,nsubj,Acc_PRON
тут,advmod,ADV
не,advmod,PART
ну,nsubj,Nom_PROPN
что,nsubj,Gen_PRON
щурил,conj,VERB
умильно,advmod,ADV
глаз,nsubj,Nom_NOUN
й,iobj,Nom_PRON
карманник,nsubj,Nom_NOUN
не,advmod,PART
и,cc,CCONJ
он,nsubj,Nom_PRON
боком,iobj,Ins_NOUN
дверь,obl,Acc_NOUN
просовывая,advcl,VERB
шарик,nsubj,Nom_PROPN
секретом,iobj,Ins_NOUN
покорять,xcomp,VERB
день,obl,Gen_NOUN
он,nsubj,Nom_PRON
уже,advmod,ADV
рядом,advmod,ADV
уголь,iobj,Ins_NOUN
работать,parataxis,VERB
как,case,ADP
дарья,nsubj,Nom_PROPN
нож,iobj,Ins_NOUN
она,nsubj,Nom_PRON
рябчикам,iobj,Dat_NOUN
сдирала,conj,VERB
костей,obl,Gen_NOUN
мякоть,conj,Acc_NOUN
вертело,ccomp,VERB
что,mark,SCONJ
кубомясор,obl,Loc_NOUN
шарик,nsubj,Nom_NOUN
время,obl,Acc_NOUN
рябчикову,obj,Acc_NOUN
миски,obl,Acc_NOUN
дарья,nsubj,Nom_PROPN
кусок,obj,Acc_NOUN
смешивала,conj,VERB
они,obj,Acc_PRON
доске,obl,Loc_NOUN
кашицей,obl,Ins_NOUN
заливала,conj,VERB
весь,obj,Acc_PRON
сливками,iobj,Ins_NOUN
посыпала,conj,VERB
солью,iobj,Ins_NOUN
и,cc,CCONJ
доске,obl,Loc_NOUN
котлеты,obj,Acc_NOUN
плите,obl,Loc_NOUN
пузырилось,advcl,VERB
и,cc,CCONJ
заслонка,nsubj,Nom_NOUN
обнаруживала,parataxis,VERB
ад,nsubj,Nom_NOUN
клокотало,nsubj,Nom_NOUN
вечером,iobj,Ins_PROPN
страсть,nsubj,Nom_NOUN
половиной,obl,Ins_NOUN
кастрюли,nsubj,Nom_NOUN
таинственно,advmod,ADV
лежала,parataxis,VERB
столе,obl,Loc_NOUN
фуражка,nsubj,Nom_NOUN
шарик,nsubj,Nom_PROPN
теплой,obl,Acc_NOUN
обнимал,conj,VERB
лев,obl,Gen_NOUN
и,cc,CCONJ
задрав,advcl,VERB
ухо,nsubj,Nom_NOUN
дарью,nsubj,Nom_PROPN
щель,nsubj,Nom_NOUN
и,cc,CCONJ
розан,nsubj,Nom_NOUN
он,obl,Gen_PRON
как,mark,SCONJ
демон,nsubj,Nom_NOUN
бормотала,parataxis,VERB
полумраке,obl,Loc_NOUN
отстань,nsubj,Nom_NOUN
сейчас,nsubj,Nom_NOUN
ты,obl,Nom_PRON
чисто,advmod,ADV
ты,obj,Acc_PRON
тоже,cc:preconj,CCONJ
и,cc,CCONJ
хрипло,advmod,ADV
черноусый,nsubj,Nom_NOUN
вечерами,nsubj,Nom_PROPN
звезда,nsubj,Nom_NOUN
шторами,obl,Ins_NOUN
быть,conj,VERB
божество,nsubj,Nom_NOUN
кресло,obl,Loc_NOUN
аплам,nsubj,Nom_NOUN
столе,obl,Acc_NOUN
шарик,nsubj,Nom_PROPN
ковре,obl,Loc_NOUN
глядел,conj,VERB
тени,obl,Loc_NOUN
и,cc,CCONJ
отрываясь,advcl,VERB
дело,obl,Acc_NOUN
едкой,obl,Ins_NOUN
сосудах,obl,Loc_NOUN
мозги,nsubj,Nom_NOUN
и,cc,CCONJ
пальцы,nsubj,Nom_NOUN
извилинах,obl,Loc_NOUN
временами,nsubj,Nom_PROPN
божество,nsubj,Nom_NOUN
ножиком,iobj,Ins_NOUN
и,cc,CCONJ
тихонько,advmod,PART
мозги,obj,Acc_NOUN
берег,obl,Dat_NOUN
тихонько,advmod,ADV
божество,obj,Acc_NOUN
закусывая,advcl,VERB
труба,nsubj,Nom_NOUN
час,obl,Acc_NOUN
точка,obl,Gen_NOUN
тепло,advmod,ADV
они,obl,Gen_PRON
потолку,obl,Dat_NOUN
расходилось,conj,VERB
оттуда,advmod,ADV
комната,obl,Dat_NOUN
песьей,obl,Gen_NOUN
шуба,obl,Nom_NUM
оживала,cop,AUX
последний,nsubj,Nom_ADJ
вычесанная,advcl,VERB
ковер,nsubj,Nom_NOUN
звук,advmod,Nom_NOUN
а,cc:preconj,CCONJ
потом,advmod,ADV
далеко,advmod,ADV
дверь,obj,Acc_NOUN
зинка,nsubj,Nom_PROPN
кинематограф,obl,Acc_NOUN
думал,nsubj,Nom_NOUN
прийти,conj,VERB
а,cc,CCONJ
как,advmod,ADV
ужинать,xcomp,VERB
быть,xcomp,VERB
и,cc:preconj,CCONJ
день,obl,Acc_NOUN
шарика,nsubj,Nom_PROPN
предчувствие,obj,Acc_NOUN
это,obl,Gen_PRON
он,nsubj,Nom_PRON
вдруг,advmod,ADV
съел,conj,VERB
завтрак,conj,Nom_NOUN
полчашка,nsubj,Nom_NOUN
аппетита,obl,Gen_NOUN
он,nsubj,Nom_PRON
скучно,advmod,ADV
приемную,obl,Acc_ADJ
и,cc,CCONJ
легонько,advmod,PART
там,advmod,ADV
отражение,obl,Acc_NOUN
как,mark,SCONJ
зина,nsubj,Nom_PROPN
его,obj,Acc_PRON
погулять,xcomp,VERB
день,obj,Acc_NOUN
как,advmod,ADV
потому,mark,SCONJ
известный,obl,Nom_ADJ
не,advmod,PART
сидело,conj,VERB
и,cc,CCONJ
божество,nsubj,Nom_NOUN
кабинете,obl,Loc_NOUN
развернув,advcl,VERB
пса,nsubj,Nom_NOUN
мысль,obj,Acc_NOUN
что,mark,SCONJ
сегодня,nsubj,Nom_NOUN
он,nsubj,Nom_PRON
точно,advmod,ADV
кухне,obl,Loc_NOUN
индейка,nsubj,Nom_NOUN
проходить,advcl,VERB
пес,nsubj,Nom_NOUN
коридоре,obl,Loc_NOUN
прозвенел,conj,VERB
неприятно,advmod,ADV
и,cc,CCONJ
неожиданно,advmod,ADV
телефон,obj,Acc_NOUN
филипп,nsubj,Nom_PROPN
трубку,obj,Acc_NOUN
прислушался,conj,VERB
взволновался,conj,VERB
и,cc,CCONJ
вдруг,advmod,ADV
отлично,advmod,ADV
голос,obj,Acc_NOUN
он,nsubj,Nom_PRON
позвонил,conj,VERB
приказать,conj,VERB
и,cc,CCONJ
зине,obl,Loc_PROPN
подавать,xcomp,VERB
тотчас,obl,Acc_NOUN
тарелками,iobj,Ins_NOUN
забегала,conj,VERB
зина,nsubj,Nom_PROPN
кухни,obl,Gen_NOUN
послышалась,acl:relcl,VERB
воркотня,nsubj,Nom_NOUN
готовый,ccomp,Nom_ADJ
пес,nsubj,Nom_PROPN
опять,advmod,ADV
волнение,obj,Acc_NOUN
кутерьмы,obl,Gen_NOUN
и,cc:preconj,CCONJ
только,discourse,PART
он,nsubj,Nom_PRON
это,nsubj,Nom_PRON
принять,ccomp,VERB
как,mark,SCONJ
кутерьма,nsubj,Nom_NOUN
характер,obj,Acc_NOUN
тот,nsubj,Nom_PROPN
себя,obl,Ins_PRON
чемодан,obj,Acc_NOUN
устремился,conj,VERB
и,cc,CCONJ
раздеваясь,advcl,VERB
он,obl,Ins_PRON
коридор,obl,Acc_NOUN
смотровую,obl,Acc_ADJ
филипп,nsubj,Nom_PROPN
чашку,obj,Acc_NOUN
что,acl,Gen_VERB
борменталю,obl,Dat_NOUN
что,acl,Gen_VERB
тоже,cc,CCONJ
никогда,advmod,ADV
не,advmod,PART
когда,mark,SCONJ
закричал,parataxis,VERB
он,nsubj,Nom_PRON
борменталь,nsubj,Nom_PROPN
снимая,advcl,VERB
кто,nsubj,Nom_PRON
такой,nsubj,Nom_DET
подумал,conj,VERB
хмуро,advmod,ADV
пес,obj,Acc_NOUN
сунулся,conj,VERB
и,cc,CCONJ
ноги,obl,Acc_NOUN
терпеть,acl,VERB
когда,advmod,ADV
скорей,nsubj,Nom_PROPN
филипп,nsubj,Nom_PROPN
сторона,obl,Acc_NOUN
стать,conj,VERB
и,cc,CCONJ
звонить,xcomp,VERB
псу,obj,Acc_NOUN
зина,nsubj,Nom_PROPN
не,advmod,PART
я,iobj,Dat_PRON
не,advmod,PART
нахмурился,conj,VERB
пес,nsubj,Nom_NOUN
обиженно,advmod,ADV
шляться,conj,VERB
и,cc,CCONJ
стать,aux:pass,AUX
квартира,obl,Dat_NOUN
сосредоточилась,conj,VERB
а,cc,CCONJ
суета,nsubj,Nom_NOUN
смотровой,obl,Loc_ADJ
зина,nsubj,Nom_NOUN
неожиданно,advmod,ADV
халате,obl,Loc_NOUN
похожем,acl,VERB
саван,obl,Acc_PROPN
начало,conj,VERB
и,cc,CCONJ
летать,xcomp,VERB
они,acl,Gen_VERB
получить,conj,VERB
пес,nsubj,Nom_NOUN
и,cc,CCONJ
вдруг,advmod,ADV
сюрприз,obj,Acc_NOUN
команда,nsubj,Nom_NOUN
и,cc:preconj,CCONJ
шарика,nsubj,Nom_PROPN
заперли,conj,VERB
и,cc,CCONJ
аннва,obl,Gen_VERB
шарик,nsubj,Nom_PROPN
сидти,advcl,VERB
и,cc:preconj,CCONJ
час,obl,Gen_NOUN
он,nsubj,Nom_PRON
аннва,obl,Loc_ADJ
состояние,obl,Loc_NOUN
злоба,obl,Loc_NOUN
каком,obl,Ins_NOUN
прийтись,parataxis,VERB
он,nsubj,Nom_PRON
пара,nsubj,Gen_NOUN
прикупить,xcomp,VERB
вы,nsubj,Nom_PRON
псов,obj,Gen_NOUN
не,advmod,PART
но,cc:preconj,CCONJ
вдруг,advmod,ADV
почто,nsubj,Acc_NOUN
кусок,obj,Acc_NOUN
двор,conj,Nom_NOUN
кирпич,conj,Nom_NOUN
псы,conj,Nom_NOUN
уж,nsubj,Nom_NOUN
зачем,mark,SCONJ
лгать,advcl,VERB
пес,nsubj,Nom_NOUN
сопя,advcl,VERB
пес,nsubj,Nom_NOUN
жизнь,obj,Gen_NOUN
страшной,acl,Ins_NOUN
он,nsubj,Nom_PRON
бросился,acl:relcl,VERB
дверь,obl,Acc_NOUN
царапаться,xcomp,VERB
как,advmod,ADV
бочку,obl,Acc_NOUN
квартира,obl,Dat_NOUN
но,cc,CCONJ
бессильно,advmod,ADV
пес,obj,Acc_NOUN
затем,advmod,ADV
ослаб,nsubj,Nom_NOUN
подняться,conj,VERB
а,cc,CCONJ
когда,advmod,ADV
шерсть,acl:relcl,VERB
он,obl,Loc_PRON
стать,cop,AUX
дыбом,iobj,Ins_NOUN
почему,mark,SCONJ
аннва,obl,Loc_NOUN
глаз,nsubj,Gen_NOUN
и,cc:preconj,CCONJ
разгар,obl,Acc_NOUN
дверь,advmod,ADV
пес,nsubj,Nom_PROPN
отряхнувшись,advcl,VERB
и,cc,CCONJ
угрюмо,advmod,ADV
кухня,obl,Acc_NOUN
но,cc,CCONJ
зина,obj,Acc_PROPN
